Step,Value
0.0,0.0
2.0,1.2467408180236816
4.0,1.2467408180236816
6.0,1.2467408180236816
8.0,1.2467408180236816
10.0,1.2467408180236816
12.0,1.2467408180236816
14.0,1.2467408180236816
16.0,1.2467408180236816
18.0,1.2467408180236816
20.0,1.2467408180236816
22.0,1.2467408180236816
24.0,1.2467408180236816
26.0,1.2467408180236816
28.0,1.2467408180236816
30.0,1.2467408180236816
32.0,1.2467408180236816
34.0,1.2467408180236816
36.0,1.2467408180236816
38.0,1.2467408180236816
40.0,1.2467408180236816
42.0,1.2467408180236816
44.0,1.2467408180236816
46.0,1.2467408180236816
48.0,1.2467408180236816
50.0,1.2467408180236816
52.0,1.2467408180236816
54.0,1.2467408180236816
56.0,1.2467408180236816
58.0,1.2467408180236816
60.0,1.2467408180236816
62.0,1.2467408180236816
64.0,1.2467408180236816
66.0,1.2467408180236816
68.0,1.2467408180236816
70.0,1.2467408180236816
72.0,1.2467408180236816
74.0,1.2467408180236816
76.0,1.2467408180236816
78.0,1.2467408180236816
80.0,1.2467408180236816
82.0,1.2467408180236816
84.0,1.2467408180236816
86.0,1.2467408180236816
88.0,1.2467408180236816
90.0,1.2467408180236816
92.0,1.2467408180236816
94.0,1.2467408180236816
96.0,1.2467408180236816
98.0,1.2467408180236816
100.0,1.2467408180236816
102.0,1.2467408180236816
104.0,1.2467408180236816
106.0,1.2467408180236816
108.0,1.2467408180236816
110.0,1.2467408180236816
112.0,1.2467408180236816
114.0,1.2467408180236816
116.0,1.2467408180236816
118.0,1.2467408180236816
120.0,1.2467408180236816
122.0,1.2467408180236816
124.0,1.2467408180236816
126.0,1.2467408180236816
128.0,1.2467408180236816
130.0,1.2467408180236816
132.0,1.2467408180236816
134.0,1.2467408180236816
136.0,1.2467408180236816
138.0,1.2467408180236816
140.0,1.2467408180236816
142.0,1.2467408180236816
144.0,1.2467408180236816
146.0,1.2467408180236816
148.0,1.2467408180236816
150.0,1.2467408180236816
152.0,1.2467408180236816
154.0,1.2467408180236816
156.0,1.2467408180236816
158.0,1.2467408180236816
160.0,1.2467408180236816
162.0,1.2467408180236816
164.0,1.2467408180236816
166.0,1.2467408180236816
168.0,1.2467408180236816
170.0,1.2467408180236816
172.0,1.2467408180236816
174.0,1.2467408180236816
176.0,1.2467408180236816
178.0,1.2467408180236816
